Drug_ID,Drug,Y,mol,mol_wt,logp,hba,hbd,tpsa,num_rot_bonds,num_het_atoms,num_heavy_atoms,num_rings,fsp3
CHEMBL1754,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,4.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B3F0>,378.516,3.1733,3,0,32.78,6,4,28,4,0.458333333
CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,4.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B390>,479.533,3.6778,8,1,111.01,9,9,35,3,0.307692308
CHEMBL1097,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,6.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B210>,277.368,1.7166,3,2,61.44,7,5,20,1,0.466666667
CHEMBL517712,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,4.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B330>,289.375,1.9309,4,1,49.77,4,4,21,3,0.588235294
CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,5.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B2D0>,255.273,2.291,3,1,59.3,3,4,19,3,0.2
CHEMBL521589,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,2.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B090>,367.446,2.2289,6,2,91.34,5,8,26,1,0.555555556
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,36,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B1B0>,338.772,0.9242,4,3,109.49,2,8,22,3,0.071428571
CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B70FF30>,254.285,3.1057,2,1,54.37,4,3,19,2,0.125
CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714390>,341.451,3.2414,4,2,58.56,11,4,25,2,0.380952381
CHEMBL296035,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,2.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7140F0>,261.365,3.4167,3,2,45.4,4,3,19,2,0.5
CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7144B0>,481.546,2.4017,7,3,140.92,10,11,33,2,0.409090909
CHEMBL108111,N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714270>,468.51,1.10957,6,5,166.04,9,10,34,3,0.333333333
CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,2.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7143F0>,421.453,1.8468,8,2,104.89,3,8,31,5,0.347826087
CHEMBL1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,2.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714210>,434.504,2.4188,6,2,93.06,2,7,31,5,0.75
CHEMBL266195,C=CCc1ccccc1OCC(O)CNC(C)C,2.5,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7142D0>,249.354,2.1528,3,2,41.49,8,3,18,1,0.466666667
CHEMBL646,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,2.7,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714030>,343.217,4.23352,4,0,43.07,1,6,23,4,0.117647059
CHEMBL56564,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,5.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714570>,284.359,2.9499,3,1,45.33,2,4,21,4,0.470588235
CHEMBL297302,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,5.8,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714630>,381.451,4.181,5,1,58.36,6,6,28,4,0.363636364
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,0.41,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714690>,211.261,1.1292,4,4,72.72,4,4,15,1,0.454545455
CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,5.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714750>,388.815,1.568,7,0,91.76,2,10,27,4,0.352941176
CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,5.9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7147B0>,211.217,0.4423,4,4,103.78,3,5,15,1,0.3
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,35,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714810>,375.871,4.4256,3,1,40.54,6,5,26,3,0.380952381
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,36,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714870>,543.525,0.0013,12,6,206.07,5,12,39,5,0.444444444
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,1.8,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7148D0>,284.356,0.8069,4,3,101.65,6,6,20,1,0.714285714
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,3.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714930>,259.349,2.5775,3,2,41.49,6,3,19,2,0.375
CHEMBL1095284,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714990>,462.513,0.041,9,5,174.53,7,13,31,4,0.277777778
CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7149F0>,262.309,1.3066,3,1,66.48,3,5,19,1,0.5
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,3.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714AB0>,445.545,2.07812,6,3,130.15,7,10,31,3,0.428571429
CHEMBL897,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,5.9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714B10>,285.365,2.1955,3,1,74.68,7,6,19,1,0.461538462
CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,14,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714BD0>,284.428,4.2394,3,0,6.48,3,3,20,3,0.294117647
CHEMBL1565476,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,17,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714C30>,300.362,2.06422,4,0,56.22,2,6,22,3,0.4375
CHEMBL1471,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,13,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714C90>,534.432,4.9521,5,2,83.24,6,14,37,4,0.391304348
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,3.9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714CF0>,474.587,1.6109,8,1,113.42,7,11,33,4,0.5
CHEMBL551786,Cc1cccc(C)c1NC(=O)NCCCNC(C)C,5,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714D50>,263.385,2.81304,2,3,53.16,6,4,19,1,0.533333333
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,5.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714DB0>,320.324,0.6633,6,2,87.46,3,8,23,3,0.4
CHEMBL852,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714E10>,305.205,1.925,3,2,66.56,8,6,19,1,0.461538462
CHEMBL1213252,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,2.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714E70>,314.728,2.5827,3,2,78.76,2,6,22,3,0.0625
CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,3.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714ED0>,325.774,4.32422,3,0,30.18,1,5,23,4,0.111111111
CHEMBL513301,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,3.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714F30>,435.481,1.2673,10,2,132.5,6,11,31,3,0.55
CHEMBL778,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,2.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714F90>,200.285,3.17834,1,1,28.68,2,2,15,2,0.307692308
CHEMBL3301800,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716030>,389.433,0.7067,6,4,132.96,5,9,27,3,0.277777778
CHEMBL1614656,CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,34,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716090>,383.532,4.4878,4,0,38.77,11,4,28,2,0.458333333
CHEMBL1117,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,16,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716150>,497.5,1.0203,10,5,176.61,3,10,36,5,0.423076923
CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716270>,307.434,2.3934,4,2,50.72,11,4,22,2,0.666666667
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,17,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7162D0>,369.425,2.74052,8,3,117.54,6,8,27,3,0.263157895
CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,22,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716330>,274.795,3.8186,2,0,16.13,5,3,19,2,0.3125
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,16,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7163F0>,280.415,3.875,2,0,6.48,4,2,21,3,0.368421053
CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,29,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716510>,308.333,3.6096,4,1,67.51,4,4,23,3,0.157894737
CHEMBL11672,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,31,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7165D0>,308.337,2.5207,4,1,62.54,2,5,23,3,0.111111111
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,13,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716690>,222.251,-0.8561,6,2,115.04,2,9,13,1,0.25
CHEMBL248702,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,14,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716750>,231.261,3.2459,1,1,12.03,4,4,16,1,0.5
CHEMBL275528,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,16,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716810>,243.394,4.3319,1,0,3.24,2,1,18,3,0.647058824
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,22,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716870>,266.388,3.5328,2,1,15.27,4,2,20,3,0.333333333
CHEMBL1422,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,12,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7168D0>,407.318,2.0165,5,1,77.04,4,12,28,3,0.4375
CHEMBL850,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,20,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716930>,392.406,2.0816,6,3,100.59,3,9,28,4,0.473684211
CHEMBL651,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,31,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7169F0>,309.453,4.292,2,0,20.31,7,2,23,2,0.380952381
CHEMBL1433,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,14,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716A50>,444.44,-0.3476,9,6,181.62,2,10,32,4,0.409090909
CHEMBL87543,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,6.5,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716AB0>,370.924,4.7885,2,0,23.55,5,4,26,3,0.409090909
CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716C30>,217.29,0.6279,3,2,57.61,3,5,14,1,0.777777778
CHEMBL75753,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,7.7,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716C90>,339.392,-0.2367,6,4,103.29,8,8,24,2,0.5625
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,3.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716CF0>,267.369,1.6132,4,2,50.72,9,4,19,1,0.6
CHEMBL581,O=C(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1,9.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716D50>,435.501,4.1617,3,2,94.91,9,7,30,3,0.652173913
CHEMBL1440,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,9.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716DB0>,444.44,-0.2144,9,6,181.62,2,10,32,4,0.409090909
CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,9.95,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716E10>,490.626,3.074,5,3,124.68,7,10,34,3,0.541666667
CHEMBL7728,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,4.9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716E70>,236.271,1.2013,3,1,66.48,1,5,17,2,0.583333333
CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,10,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716ED0>,313.397,3.1938,4,1,39.72,6,4,23,3,0.368421053
CHEMBL1730,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716F30>,455.474,-0.6225,11,3,173.51,7,14,30,3,0.375
CHEMBL1599,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B716F90>,423.472,0.4754,8,2,125.9,7,11,28,3,0.352941176
CHEMBL623,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715030>,470.017,3.5519,7,0,55.53,10,8,33,4,0.44
CHEMBL1614652,O=C1c2ccccc2S(=O)(=O)N1CCCCNC[C@H]1CCc2ccccc2O1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7150F0>,400.5,2.5947,5,1,75.71,7,7,28,4,0.380952381
CHEMBL1679,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,1.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715150>,473.446,-0.7311,9,7,219.84,10,14,34,3,0.3
CHEMBL1428,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,1.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7151B0>,418.446,2.9708,8,1,117,8,9,30,2,0.428571429
CHEMBL1460,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,1.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715210>,236.231,-0.2105,6,2,93.03,2,7,17,3,0.5
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,8.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7152D0>,401.438,2.3705,6,2,83.8,4,8,29,5,0.523809524
CHEMBL475534,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,8.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715330>,360.366,2.5657,7,1,107.77,5,8,26,2,0.333333333
CHEMBL6273,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,8.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715390>,369.343,1.6992,5,1,65.78,4,9,26,3,0.411764706
CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7153F0>,387.44,1.0568,8,1,103.04,4,9,28,4,0.526315789
CHEMBL33986,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,4.8,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7154B0>,327.468,3.3656,3,2,43.7,2,3,24,5,0.714285714
CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,9.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715570>,229.261,-0.5941,7,2,90.37,2,7,15,2,0.5
CHEMBL1480,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,10,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7155D0>,384.259,3.9643,5,1,64.63,4,7,25,2,0.333333333
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,10,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715630>,375.4,1.9804,6,2,83.8,4,8,27,4,0.473684211
CHEMBL53292,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,33,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715690>,335.341,1.48242,6,2,112.74,2,9,23,3,0.142857143
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,34,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7156F0>,446.91,4.2756,7,1,68.74,8,9,31,4,0.363636364
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,17,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715750>,457.483,0.1866,9,5,164.63,3,10,33,4,0.434782609
CHEMBL1908351,Cc1cnc(NCCCN(C)C)c2c1[nH]c1ccc3cc(O)ccc3c12,19,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7157B0>,348.45,4.24692,4,3,64.18,5,5,26,4,0.285714286
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,13,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7158D0>,329.371,3.3265,4,1,39.72,4,5,24,4,0.368421053
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,1.5,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715930>,268.744,1.402,3,1,41.57,4,5,18,2,0.461538462
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,7.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715990>,299.802,2.0024,4,2,67.59,7,6,20,1,0.5
CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,2.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715AB0>,406.482,3.738,5,3,75.74,10,6,30,4,0.25
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715B10>,359.451,2.98942,5,1,83.09,8,7,25,3,0.333333333
CHEMBL60542,CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,2.5,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715B70>,285.431,3.8826,2,1,23.47,2,2,21,3,0.578947368
CHEMBL1256734,CC1(C)S[C@@H]2[C@H](NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715BD0>,414.461,0.2472,6,3,141.08,5,11,27,3,0.4375
CHEMBL328250,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715C30>,351.841,3.3333,5,0,46.31,3,6,25,4,0.210526316
CHEMBL2051955,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,1.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715C90>,280.291,1.36176,6,2,113.43,3,7,21,2,0.214285714
CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,2.8,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715CF0>,237.73,2.8978,2,1,29.1,2,3,16,2,0.461538462
CHEMBL1237,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,42,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715D50>,405.495,1.2352,5,4,132.96,12,8,29,2,0.571428571
CHEMBL34139,C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,49,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B715DB0>,331.344,0.8772,6,1,85.08,5,9,22,2,0.384615385
